# Version: powershare 1.0.0
datetime_utc,datetime_local,total_watt_hours_in,total_watt_hours_out
2025-10-16 08:04:00,2025-10-16 18:34:00,40442,0
2025-10-16 08:05:00,2025-10-16 18:35:00,40448,0
2025-10-16 08:06:00,2025-10-16 18:36:00,40455,0
2025-10-16 08:07:00,2025-10-16 18:37:00,40462,0
2025-10-16 08:08:00,2025-10-16 18:38:00,40468,0
2025-10-16 08:09:00,2025-10-16 18:39:00,40475,0
2025-10-16 08:10:00,2025-10-16 18:40:00,40481,0
2025-10-16 08:11:00,2025-10-16 18:41:00,40488,0
2025-10-16 08:12:00,2025-10-16 18:42:00,40494,0
2025-10-16 08:13:00,2025-10-16 18:43:00,40500,0
2025-10-16 08:14:00,2025-10-16 18:44:00,40506,0
2025-10-16 08:15:00,2025-10-16 18:45:00,40511,0
2025-10-16 08:16:00,2025-10-16 18:46:00,40517,0
2025-10-16 08:17:00,2025-10-16 18:47:00,40521,0
2025-10-16 08:18:00,2025-10-16 18:48:00,40526,0
2025-10-16 08:19:00,2025-10-16 18:49:00,40531,0
2025-10-16 08:20:00,2025-10-16 18:50:00,40536,0
2025-10-16 08:21:00,2025-10-16 18:51:00,40540,0
2025-10-16 08:22:00,2025-10-16 18:52:00,40546,0
2025-10-16 08:23:00,2025-10-16 18:53:00,40551,0
2025-10-16 08:24:00,2025-10-16 18:54:00,40556,0
2025-10-16 08:25:00,2025-10-16 18:55:00,40562,0
2025-10-16 08:26:01,2025-10-16 18:56:01,40567,0
2025-10-16 08:27:00,2025-10-16 18:57:00,40573,0
2025-10-16 08:28:00,2025-10-16 18:58:00,40578,0
2025-10-16 08:29:00,2025-10-16 18:59:00,40584,0
2025-10-16 08:30:00,2025-10-16 19:00:00,40589,0
2025-10-16 08:31:00,2025-10-16 19:01:00,40595,0
2025-10-16 08:32:00,2025-10-16 19:02:00,40601,0
2025-10-16 08:33:00,2025-10-16 19:03:00,40608,0
2025-10-16 08:34:00,2025-10-16 19:04:00,40614,0
2025-10-16 08:35:00,2025-10-16 19:05:00,40621,0
2025-10-16 08:36:00,2025-10-16 19:06:00,40627,0
2025-10-16 08:37:00,2025-10-16 19:07:00,40634,0
2025-10-16 08:38:00,2025-10-16 19:08:00,40640,0
2025-10-16 08:39:00,2025-10-16 19:09:00,40646,0
2025-10-16 08:40:00,2025-10-16 19:10:00,40653,0
2025-10-16 08:41:00,2025-10-16 19:11:00,40660,0
2025-10-16 08:42:00,2025-10-16 19:12:00,40666,0
2025-10-16 08:43:00,2025-10-16 19:13:00,40673,0
2025-10-16 08:44:00,2025-10-16 19:14:00,40680,0
2025-10-16 08:45:00,2025-10-16 19:15:00,40687,0
2025-10-16 08:46:00,2025-10-16 19:16:00,40694,0
